小肚皮App,10k-20k,经验1-3年 / 本科,“逗逼氛围、五险一金、年度旅游、餐补”,PHP,北京·四惠
随手科技,10k-20k,经验3-5年 / 本科,"“互联网金融,平台大,发展好,3亿用户”",PHP开发工程师,北京·四惠
欢乐逛,8k-16k,经验不限 / 不限,“薪资不封顶，不设限”,PHP开发工程师,北京·四惠
明源云,16K-22K,经验3-5年 / 本科,"“上市公司,平台大,发展快,福利多”",PHP开发工程师,北京·四惠
婚礼纪,15k-25k,经验3-5年 / 本科,“大平台 学习快 成长空间大 项目多”,PHP,北京·四惠
作业帮,15k-30k,经验3-5年 / 本科,“好平台+高薪酬+优厚福利”,PHP工程师,北京·四惠
一下科技,15k-30k,经验3-5年 / 本科,“美女如云 超 nice的团队”,PHP工程师,北京·四惠
小年糕,20k-35k,经验5-10年 / 本科,"“弹性时间,牛人多,下午茶,年假多”",PHP,北京·四惠
九吨科技,5k-10k,经验1-3年 / 大专,“季度奖金、股权激励、带薪年假、员工旅游”,PHP,北京·四惠
360,18k-36k,经验3-5年 / 本科,“平台大、发展好，业务发展迅速”,PHP开发工程师,北京·四惠
顺丰科技有限公司,15k-30k,经验1-3年 / 不限,"“团队BAT,导师资深”",PHP研发工程师,北京·四惠
途虎养车网,15k-25k,经验3-5年 / 本科,"“扁平管理,弹性工作,团队氛围好”",PHP开发工程师,北京·四惠
伊的家,12k-24k,经验1-3年 / 大专,“福利待遇好，氛围极好，成长型，出差北美”,PHP开发工程师,北京·四惠
腾讯,15k-30k,经验3-5年 / 本科,“腾讯大平台”,PHP工程师,北京·四惠
一下科技,18k-36k,经验3-5年 / 本科,“e轮融资5亿美金”,PHP开发工程师,上海·漕河泾
小年糕,8k-15k,经验1-3年 / 本科,"“发展空间大,公司氛围好”",php开发工程师,上海·漕河泾
恒大珠三角公司,20k-40k,经验3-5年 / 本科,“大平台 高手如云 物联网方向”,PHP开发,上海·漕河泾
贝米钱包,15k-30k,经验3-5年 / 本科,"“商业保险,年度旅游,带薪年病假,弹性上班制”",PHP开发工程师,上海·漕河泾
360,25k-50k,经验3-5年 / 本科,“公司平台大、福利好、有班车、有食堂”,PHP开发工程师,上海·漕河泾
小肚皮App,5k-10k,经验1年以下 / 本科,"“五险一金,逗逼氛围,餐补,美女如云”",初级JAVA/PHP开发,上海·漕河泾
平安产险,15k-25k,经验3-5年 / 本科,"“世界五百强,公司规模大,周末双休”",php开发工程师(外包),上海·漕河泾
腾讯,20k-40k,经验1-3年 / 本科,"“周末双休,健身房,班车,职业成长”",PHP开发工程师,上海·漕河泾
随手科技,18k-30k,经验5-10年 / 本科,"“互联网金融,平台大,发展好,3亿用户”",高级PHP开发工程师,上海·漕河泾
美菜网,23k-36k,经验1-3年 / 本科,“福利待遇优厚 晋升空间好”,PHP开发工程师,上海·漕河泾
九吨科技,10k-20k,经验1-3年 / 本科,"“餐饮补贴,旅游,五险一金,体检”",php工程师,上海·漕河泾
明源云,18k-30k,经验5-10年 / 本科,“技术创新团队，牛人多，合伙人激励机制”,技术合伙人(PHP),上海·漕河泾
会小二网,15k-30k,经验3-5年 / 本科,“行业领先；顶级VC；精英团队；股票期权”,高级PHP工程师,上海·漕河泾
作业盒子,15k-30k,经验1-3年 / 本科,"“五险一金,年度旅游,年终多薪,餐补交通补”",PHP开发工程师,上海·漕河泾
AGMTrade聚米投投,9k-18k,经验3-5年 / 大专,"“发展空间大,团队氛围佳,团队成长快”",PHP开发工程师,上海·漕河泾
乐惠,15k-30k,经验3-5年 / 本科,"“弹性工作,团队氛围好,技术过硬,福利待遇佳”",PHP高级研发,北京·学院路
360,20k-30k,经验3-5年 / 本科,“大平台，核心业务”,服务端开发（PHP）,北京·学院路
